EmployeeCode,Name,Gender,DOB,DOJ,DOL,Department,Branch,Designation,ProjectSite,Email,Contact,Blood Group,Father/Husband Name,Marital Status,Current Address,Permanent Address,Aadhaar,PAN,Employment Type,Probation Period,Internship Period,Notice Period Days,Document Type,Document Path
EMP100,Dev,Female,2008-02-29,2022-05-05,,Marketing Dept,Head Office,Accountant,Head Site,dev0@example.com,9530227364,O+,Mr. Anjali,Single,133 Street,133 Street,984451538191,XEDZC2587C,contract,3 months,,45,Offer Letter,/docs/offer letter_EMP100.pdf
EMP101,Tanya,Male,2005-02-06,2019-06-01,,Operations Dept,Mumbai Office,Manager,Mumbai Site,tanya1@example.com,9810062581,A-,Mr. Priya,Single,11 Street,11 Street,818546379337,FEZCD5086A,permanent,6 months,,60,PAN,/docs/pan_EMP101.pdf
EMP102,Vikram,Female,2002-07-17,2021-10-18,,Engineering Dept,Mumbai Office,Manager,Mumbai Site,vikram2@example.com,9876123641,O+,Mr. Sneha,Married,331 Street,331 Street,184779910864,FAYCD2908B,permanent,3 months,,30,Offer Letter,/docs/offer letter_EMP102.pdf
EMP103,Aarav,Male,2010-04-29,2022-01-30,,Operations Dept,Chennai Office,Team Lead,Chennai Site,aarav3@example.com,9450359560,A-,Mr. Anjali,Married,116 Street,116 Street,958206989726,EBDCE3346B,contract,3 months,,90,Aadhaar,/docs/aadhaar_EMP103.pdf
EMP104,Naina,Female,2024-07-17,2019-12-25,,Operations Dept,Chennai Office,Accountant,Chennai Site,naina4@example.com,9150446426,B+,Mr. Kabir,Single,338 Street,338 Street,761449911201,AYABC6495C,permanent,3 months,,60,PAN,/docs/pan_EMP104.pdf
EMP105,Anjali,Male,1994-08-05,2018-04-13,,Marketing Dept,Mumbai Office,HR Executive,Mumbai Site,anjali5@example.com,9418982932,B+,Mr. Rohan,Married,412 Street,412 Street,312969362325,CBCDA9241B,permanent,3 months,,60,PAN,/docs/pan_EMP105.pdf
EMP106,Anjali,Female,2013-01-07,2019-07-15,,Finance Dept,Head Office,Team Lead,Head Site,anjali6@example.com,9196211092,A+,Mr. Kabir,Single,149 Street,149 Street,907219662448,XBDFF1296B,contract,6 months,,60,Aadhaar,/docs/aadhaar_EMP106.pdf
EMP107,Aarav,Female,1997-01-10,2021-03-31,,Marketing Dept,Delhi Office,Manager,Delhi Site,aarav7@example.com,9302616215,O+,Mr. Vikram,Single,217 Street,217 Street,503980789752,CYEXZ7980A,permanent,3 months,,30,PAN,/docs/pan_EMP107.pdf
EMP108,Tanya,Male,1990-06-12,2022-12-29,,Operations Dept,Chennai Office,Software Engineer,Chennai Site,tanya8@example.com,9564501934,O+,Mr. Anjali,Married,352 Street,352 Street,160935088614,ABZCB4283P,permanent,3 months,,45,PAN,/docs/pan_EMP108.pdf
EMP109,Isha,Male,2008-07-20,2018-11-30,,Engineering Dept,Mumbai Office,Accountant,Mumbai Site,isha9@example.com,9193545412,A-,Mr. Naina,Married,158 Street,158 Street,352928725428,DFDEB5427A,permanent,6 months,,90,PAN,/docs/pan_EMP109.pdf
EMP110,Neha,Female,2021-09-24,2019-05-16,,Operations Dept,Mumbai Office,Software Engineer,Mumbai Site,neha10@example.com,9819819591,A-,Mr. Arjun,Married,280 Street,280 Street,693498077317,YFFCA1029C,contract,3 months,,30,Offer Letter,/docs/offer letter_EMP110.pdf
EMP111,Ankit,Female,1999-06-01,2019-03-10,,Finance Dept,Delhi Office,HR Executive,Delhi Site,ankit11@example.com,9765768956,O-,Mr. Arjun,Single,458 Street,458 Street,220229647824,CCEXE9346B,contract,3 months,,30,Offer Letter,/docs/offer letter_EMP111.pdf
EMP112,Meera,Male,2021-12-08,2022-01-04,,Marketing Dept,Mumbai Office,Accountant,Mumbai Site,meera12@example.com,9541601275,AB+,Mr. Ankit,Married,325 Street,325 Street,960034297617,ZZAAX6750C,permanent,3 months,,30,PAN,/docs/pan_EMP112.pdf
EMP113,Naina,Male,1999-09-05,2019-10-07,,HR Dept,Chennai Office,Team Lead,Chennai Site,naina13@example.com,9342135346,A+,Mr. Priya,Single,134 Street,134 Street,442262412749,XAAEY2926C,contract,3 months,,45,PAN,/docs/pan_EMP113.pdf
EMP114,Simran,Female,2015-08-26,2019-03-15,,Finance Dept,Delhi Office,Manager,Delhi Site,simran14@example.com,9272108807,AB+,Mr. Meera,Married,284 Street,284 Street,254010602636,FDDYF7226P,permanent,6 months,,45,Aadhaar,/docs/aadhaar_EMP114.pdf
EMP115,Simran,Female,1991-04-16,2020-08-25,,Operations Dept,Mumbai Office,Manager,Mumbai Site,simran15@example.com,9545229665,O+,Mr. Arjun,Single,106 Street,106 Street,789274888494,DFDXC8968P,contract,3 months,,60,Aadhaar,/docs/aadhaar_EMP115.pdf
EMP116,Sneha,Female,1992-03-20,2020-04-10,,Finance Dept,Mumbai Office,Team Lead,Mumbai Site,sneha16@example.com,9715313409,O+,Mr. Aarav,Single,246 Street,246 Street,941384665916,EEZCE2627P,contract,3 months,,90,Offer Letter,/docs/offer letter_EMP116.pdf
